UF;Ano;Total F06;Subfunção;Valor;Pct
DF;2022;1044983398,47;Administração Geral;708316704,49;67,78257965888008
DF;2022;1044983398,47;Demais Subfunções;239696751,49;22,93785258607449
DF;2023;1186519440,38;Policiamento;131743175,12;11,103330517518309
DF;2023;1186519440,38;Defesa Civil;8951,98;0,0007544739424693285
DF;2023;1186519440,38;Administração Geral;751388720,72;63,327131031191264
DF;2023;1186519440,38;Demais Subfunções;303378592,56;25,568783977347948
DF;2024;1384000189,28;Policiamento;156589973,04;11,314302863026555
DF;2024;1384000189,28;Defesa Civil;23024,35;0,0016636088765260924
DF;2024;1384000189,28;Administração Geral;890004735,13;64,30669172039696
DF;2024;1384000189,28;Demais Subfunções;337382456,76;24,37734180769996
ES;2015;1218466827,8;Policiamento;31676512,07;2,599702457816883
ES;2015;1218466827,8;Defesa Civil;15590405,15;1,279510019829528
ES;2015;1218466827,8;Informação e Inteligência;1444641,63;0,11856224535947107
ES;2015;1218466827,8;Administração Geral;1144904171,08;93,96268695695056
ES;2015;1218466827,8;Demais Subfunções;24851097,87;2,0395383200435457
ES;2016;1275243310,39;Policiamento;29798755,66;2,3367113881104635
ES;2016;1275243310,39;Defesa Civil;15454920,77;1,2119193760188016
ES;2016;1275243310,39;Administração Geral;1175009143,6;92,13999665998278
ES;2016;1275243310,39;Demais Subfunções;54980490,36;4,311372575887941
ES;2017;1294299598,5;Policiamento;48725266,14;3,764604902641481
ES;2017;1294299598,5;Defesa Civil;6493448,19;0,5016959131815724
ES;2017;1294299598,5;Administração Geral;1161414200,92;89,73302643885508
ES;2017;1294299598,5;Demais Subfunções;77666683,25;6,000672745321879
ES;2018;1357880466,51;Policiamento;66491097,48;4,896682669785672
ES;2018;1357880466,51;Defesa Civil;12026466,36;0,885679311000784
ES;2018;1357880466,51;Administração Geral;1219935745,88;89,8411735029562
ES;2018;1357880466,51;Demais Subfunções;59427156,79;4,376464516257355
ES;2019;1311580321,52;Policiamento;34687958,54;2,6447452718564635
ES;2019;1311580321,52;Defesa Civil;15110939,85;1,152116999779916
ES;2019;1311580321,52;Administração Geral;1202027060,08;91,64723199620455
ES;2019;1311580321,52;Demais Subfunções;59754363,05;4,555905732159067
ES;2020;1325086211,25;Policiamento;90877950,13;6,858266983570198
ES;2020;1325086211,25;Defesa Civil;13665138,58;1,0312641142880206
ES;2020;1325086211,25;Administração Geral;1171421501,53;88,40341795006358
ES;2020;1325086211,25;Demais Subfunções;49121621,01;3,707050952078194
ES;2021;1484560625,78;Policiamento;153714714,06;10,354222750535168
ES;2021;1484560625,78;Defesa Civil;17241272,9;1,161372098963038
ES;2021;1484560625,78;Administração Geral;1236040882,42;83,25971071545659
ES;2021;1484560625,78;Demais Subfunções;77563756,4;5,22469443504521
ES;2022;2028006873,63;Policiamento;353711855,91;17,44135389821825
ES;2022;2028006873,63;Defesa Civil;28780330,47;1,4191436352720581
ES;2022;2028006873,63;Administração Geral;1487665924,45;73,35605928135614
ES;2022;2028006873,63;Demais Subfunções;157848762,8;7,78344318515356
ES;2023;2023752520,13;Policiamento;190887310,47;9,432344546641401
ES;2023;2023752520,13;Defesa Civil;37173179,11;1,8368441170668486
ES;2023;2023752520,13;Administração Geral;1670325286,85;82,53604480960463
ES;2023;2023752520,13;Demais Subfunções;125366743,7;6,194766526687108
ES;2024;2350029320,11;Policiamento;264688874,79;11,26321584692443
ES;2024;2350029320,11;Defesa Civil;38423008,5;1,6350012389718398
ES;2024;2350029320,11;Administração Geral;1911857536,8;81,35462483125572
ES;2024;2350029320,11;Demais Subfunções;135059900,02;5,74715808284801
GO;2015;2431198104,05;Policiamento;179324489,98;7,375971940800427
GO;2015;2431198104,05;Defesa Civil;245676933,29;10,105179535996685
GO;2015;2431198104,05;Informação e Inteligência;1395798,82;0,05741197386074031
GO;2015;2431198104,05;Administração Geral;1855427997,53;76,3174335501144
GO;2015;2431198104,05;Demais Subfunções;149372884,43;6,144002999227742
GO;2016;2467431484,36;Policiamento;107436464,82;4,354182294462647
GO;2016;2467431484,36;Defesa Civil;266349711,47;10,794614284460486
GO;2016;2467431484,36;Informação e Inteligência;206666,18;0,008375761649714252
GO;2016;2467431484,36;Administração Geral;2020485334,09;81,88617786945647
GO;2016;2467431484,36;Demais Subfunções;72953307,8;2,9566497899706645
GO;2017;2768797636,9;Policiamento;114369411,65;4,1306526026239405
GO;2017;2768797636,9;Defesa Civil;304568470,04;11,00002636454865
GO;2017;2768797636,9;Informação e Inteligência;961236,08;0,03471673289479612
GO;2017;2768797636,9;Administração Geral;2291672557,71;82,7677879801935
GO;2017;2768797636,9;Demais Subfunções;57225961,42;2,0668163197391087
GO;2018;2807535260,45;Policiamento;171694160,25;6,115476541601133
GO;2018;2807535260,45;Defesa Civil;307581777,48;10,95558021346809
GO;2018;2807535260,45;Informação e Inteligência;372147,25;0,013255301019455447
GO;2018;2807535260,45;Administração Geral;2257038387,19;80,39216529121119
